 49 CXOU J132521.2-430154  83.9 13 25 21.2 -43 01 55.0  212  189.  14.6 1.78E+37          
 50 CXOU J132523.5-430220  84.4 13 25 23.6 -43 02 20.8  465  421.  21.6 3.73E+37          
 51 CXOU J132521.2-430158  85.5 13 25 21.3 -43 01 58.9  223  174.4 14.9 1.54E+37          
 52 CXOU J132521.5-430213  93.0 13 25 21.6 -43 02 13.8  146  124.7 12.1 1.15E+37          
 53 CXOU J132520.8-430010  94.3 13 25 20.8 -43 00 10.8   27   20.3  5.2 2.11E+36          
 54 CXOU J132532.0-430231  95.8 13 25 32.0 -43 02 31.5  535  490.7 23.1 4.17E+37 H{alpha} mrfa-40
 55 CXOU J132525.8-425933  97.4 13 25 25.8 -42 59 33.4   33   17.4  5.7 1.61E+36          
 56 CXOU J132530.3-425935  98.1 13 25 30.3 -42 59 35.2  136   89.8 11.7 7.58E+36 GC       pff-gc-209
 57 CXOU J132518.9-430136  98.7 13 25 19.0 -43 01 37.0   67   48.6  8.2 4.81E+36          
 58 CXOU J132529.0-425931  98.9 13 25 29.0 -42 59 31.1   95   59.8  9.7 5.10E+36          
 59 CXOU J132536.6-430057  99.5 13 25 36.6 -43 00 57.6  303  233.9 17.4 1.94E+37          
 60 CXOU J132518.5-430116  99.8 13 25 18.5 -43 01 16.3  578  523.1 24.  4.58E+37 GC       mrfa-074
 61 CXOU J132519.9-430203 100.4 13 25 19.9 -43 02 03.3   38   25.   6.2 2.69E+36          
 62 CXOU J132518.7-430141 102.7 13 25 18.7 -43 01 41.2   96   72.3  9.8 7.04E+36          
 63 CXOU J132519.2-430158 104.6 13 25 19.2 -43 01 58.4   61   45.1  7.8 5.07E+36          
 64 CXOU J132528.2-430253 105.0 13 25 28.2 -43 02 53.6  368  340.1 19.2 2.98E+37          
 65 CXOU J132537.4-430131 110.2 13 25 37.4 -43 01 31.8  109   81.5 10.4 6.81E+36 GC       mrfa-033
 66 CXOU J132526.7-430300 112.0 13 25 26.8 -43 03 00.4  188  159.4 13.7 1.40E+37          
 67 CXOU J132518.7-430205 113.2 13 25 18.7 -43 02 05.8   41   27.3  6.4 2.88E+36          
 68 CXOU J132522.2-430245 113.7 13 25 22.2 -43 02 45.8  126  116.9 11.2 1.09E+37 GC       pff-gc-121
 69 CXOU J132520.6-425942 115.5 13 25 20.7 -42 59 42.1   22   12.7  4.7 1.30E+36          
 70 CXOU J132530.4-425914 118.7 13 25 30.5 -42 59 14.3  496  435.8 22.3 3.68E+37          
 71 CXOU J132535.2-430234 119.4 13 25 35.2 -43 02 34.1  150  120.8 12.2 1.03E+37          
 72 CXOU J132517.8-430204 120.4 13 25 17.9 -43 02 04.4  209  181.6 14.5 2.10E+37          
 73 CXOU J132531.9-430302 123.1 13 25 31.9 -43 03 02.5   56   38.2  7.5 3.34E+36          
 74 CXOU J132527.8-425903 125.0 13 25 27.9 -42 59 03.9   43   26.5  6.6 2.35E+36          
 75 CXOU J132528.4-430315 126.9 13 25 28.4 -43 03 15.4  251  211.5 15.8 1.81E+37          
 76 CXOU J132535.5-425935 127.6 13 25 35.5 -42 59 35.3  609  549.  24.7 5.27E+37 GC       pff-gc-214
 77 CXOU J132538.3-430205 130.4 13 25 38.3 -43 02 05.8 2221 2158.8 47.1 1.78E+38          
 78 CXOU J132539.4-430058 130.6 13 25 39.5 -43 00 58.9   39   22.   6.2 1.99E+36          
 79 CXOU J132517.0-430007 131.1 13 25 17.1 -43 00 07.5   46   33.9  6.8 3.15E+36          
 80 CXOU J132533.3-425913 131.5 13 25 33.4 -42 59 13.6  101   78.  10.1 7.40E+36          
 81 CXOU J132515.7-430158 139.6 13 25 15.7 -43 01 58.2   58   44.7  7.6 7.11E+36          
 82 CXOU J132533.6-430313 141.2 13 25 33.7 -43 03 13.3  188  159.3 13.7 1.36E+37          
 83 CXOU J132514.8-430048 141.6 13 25 14.8 -43 00 48.7   42   21.3  6.5 1.94E+36          
 84 CXOU J132540.5-430115 142.1 13 25 40.6 -43 01 15.2  638  587.  25.3 5.02E+37          
 85 CXOU J132538.2-430230 142.3 13 25 38.3 -43 02 30.5   15    9.4  3.9 9.11E+35          
 86 CXOU J132523.6-430325 143.9 13 25 23.6 -43 03 25.9  256  221.8 16.  2.38E+37          
 87 CXOU J132533.9-425859 146.4 13 25 34.0 -42 58 59.9  558  514.4 23.6 4.59E+37 GC       pff-gc-159
 88 CXOU J132520.0-430310 147.1 13 25 20.1 -43 03 10.4  367  317.4 19.2 3.95E+37 GC       mrfa-071
